28,-30,48.00,50.00,50.00,51.00

27,-30,50.00,50.00,49.00,51.00

26,-30,51.00,51.00,51.00,51.00

25,-30,51.00,51.00,50.00,51.00

24,-30,51.00,51.00,50.00,51.00

23,-30,51.00,51.00,50.00,51.00

22,-30,51.00,50.00,50.00,50.00

21,-30,59.00,50.00,51.00,51.00

20,-30,51.00,52.00,50.00,51.00

19,-30,54.00,51.00,51.00,50.00

18,-30,51.00,51.00,50.00,51.00

17,-30,57.00,51.00,50.00,51.00

16,-30,51.00,51.00,50.00,51.00

15,-30,51.00,51.00,51.00,51.00

14,-30,51.00,51.00,51.00,51.00

13,-30,47.00,52.00,51.00,51.00

12,-30,52.00,52.00,50.00,51.00

11,-30,47.00,52.00,51.00,50.00

10,-30,51.00,51.00,50.00,51.00

9,-30,51.00,51.00,50.00,51.00

8,-30,51.00,51.00,50.00,51.00

7,-30,50.00,51.00,49.00,50.00

6,-30,50.00,51.00,50.00,50.00

5,-30,49.00,51.00,51.00,49.00

4,-30,52.00,50.00,52.00,49.00

3,-30,53.00,49.00,51.00,50.00

2,-30,48.00,51.00,50.00,51.00

1,-30,51.00,51.00,50.00,51.00

0,-30,51.00,50.00,50.00,50.00

-1,-30,51.00,50.00,50.00,51.00

-2,-30,51.00,51.00,51.00,51.00

-3,-30,51.00,51.00,50.00,51.00

-4,-30,55.00,52.00,51.00,51.00

-5,-30,55.00,52.00,52.00,50.00

-6,-30,53.00,50.00,51.00,51.00

-7,-30,51.00,51.00,50.00,51.00

-8,-30,50.00,50.00,50.00,63.00

-9,-30,51.00,50.00,50.00,50.00

-10,-30,49.00,50.00,50.00,50.00

-11,-30,50.00,50.00,50.00,50.00

-12,-30,48.00,50.00,51.00,52.00

-13,-30,53.00,51.00,48.00,50.00

-14,-30,51.00,51.00,52.00,50.00

-15,-30,51.00,50.00,50.00,51.00

-16,-30,51.00,51.00,50.00,51.00

-17,-30,50.00,51.00,50.00,50.00

-18,-30,51.00,51.00,51.00,51.00

-19,-30,52.00,51.00,51.00,51.00

-20,-30,54.00,50.00,50.00,49.00

-21,-30,52.00,50.00,51.00,50.00

-22,-30,53.00,51.00,49.00,51.00

-23,-30,51.00,50.00,50.00,50.00

-24,-30,51.00,50.00,50.00,50.00

-25,-30,51.00,50.00,50.00,50.00

-26,-30,50.00,50.00,50.00,50.00

-27,-30,50.00,51.00,50.00,51.00

-28,-30,53.00,50.00,48.00,51.00

-29,-30,43.00,52.00,52.00,50.00

-30,-30,53.00,52.00,51.00,51.00

-30,-29,52.00,51.00,51.00,51.00

-29,-29,51.00,51.00,50.00,51.00

-28,-29,51.00,51.00,50.00,51.00

-27,-29,52.00,51.00,51.00,52.00

-26,-29,52.00,52.00,51.00,51.00

-25,-29,50.00,53.00,51.00,52.00

-24,-29,51.00,51.00,47.00,50.00

-23,-29,51.00,51.00,51.00,50.00

-22,-29,51.00,51.00,50.00,51.00

-21,-29,51.00,51.00,50.00,50.00

-20,-29,50.00,50.00,50.00,50.00

-19,-29,50.00,51.00,49.00,50.00

-18,-29,46.00,51.00,51.00,52.00

-17,-29,43.00,49.00,51.00,50.00

-16,-29,53.00,52.00,50.00,51.00

-15,-29,59.00,51.00,50.00,51.00

-14,-29,51.00,51.00,50.00,51.00

-13,-29,51.00,51.00,51.00,51.00

-12,-29,52.00,52.00,51.00,52.00

-11,-29,51.00,51.00,51.00,51.00

-10,-29,54.00,51.00,51.00,40.00

-9,-29,43.00,52.00,50.00,51.00

-8,-29,46.00,51.00,51.00,50.00

-7,-29,36.00,51.00,50.00,51.00

-6,-29,51.00,51.00,50.00,51.00

-5,-29,51.00,51.00,50.00,51.00

-4,-29,49.00,50.00,49.00,51.00

-3,-29,50.00,50.00,49.00,50.00

-2,-29,48.00,49.00,48.00,49.00

-1,-29,51.00,51.00,52.00,52.00

0,-29,51.00,52.00,51.00,50.00

1,-29,51.00,51.00,51.00,51.00

2,-29,51.00,51.00,50.00,51.00

3,-29,51.00,51.00,51.00,51.00

4,-29,52.00,51.00,50.00,51.00

5,-29,51.00,51.00,51.00,51.00

6,-29,53.00,52.00,51.00,49.00

7,-29,48.00,51.00,49.00,49.00

8,-29,49.00,51.00,50.00,50.00

9,-29,51.00,50.00,50.00,51.00

10,-29,51.00,50.00,50.00,50.00

11,-29,50.00,50.00,50.00,50.00

12,-29,48.00,50.00,50.00,50.00

13,-29,49.00,50.00,50.00,50.00

14,-29,48.00,50.00,50.00,50.00

15,-29,47.00,50.00,48.00,50.00

16,-29,51.00,51.00,51.00,51.00

17,-29,52.00,51.00,51.00,51.00

18,-29,51.00,51.00,50.00,51.00

19,-29,51.00,51.00,50.00,51.00

20,-29,51.00,51.00,51.00,51.00

21,-29,51.00,51.00,50.00,51.00

22,-29,50.00,49.00,51.00,50.00

23,-29,48.00,52.00,49.00,51.00

24,-29,51.00,50.00,59.00,50.00

25,-29,51.00,50.00,50.00,50.00

26,-29,50.00,50.00,50.00,50.00

27,-29,51.00,50.00,50.00,50.00

